Console output now writes to BlvsODTest.txt and can be found at /home/pi/Chromostat/BlvsODTest.txt

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r or run
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v or view
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete
To set integration time type int
To change time inbetween measurements, type interval


Current settings are the following:

Currently saving output to: /home/pi/Chromostat/BlvsODTest.txt
Gain value is: 0
Integration Time is 1000.0 m/s
Time between measurements is 60000 m/s

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r or run
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v or view
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete
To set integration time type int
To change time inbetween measurements, type interval


Mode  Time  Red  Green  Blue
T     1     150   143   95
T     2     1336   2676   2812
T     3     1409   1920   2098
T     4     1377   1931   2137
T     5     1419   1963   2165
T     6     1438   1981   2177
T     7     1417   1956   2152
T     8     1393   1933   2125
T     9     1421   1950   2143
T     10     1404   1931   2128
T     11     1392   1918   2108
T     12     1363   1885   2078
T     13     1427   1949   2137
T     14     1405   1922   2114
T     15     1368   1885   2075
T     16     1401   1917   2106
T     17     1407   1922   2111
T     18     1394   1906   2097
T     19     1433   1948   2130
T     20     1407   1918   2104
T     21     1393   1902   2091
T     22     1399   1907   2094
T     23     1403   1912   2098
T     24     1411   1919   2103
T     25     1400   1908   2094
T     26     1395   1903   2077
T     27     1434   1939   2112
T     28     1410   1914   2093
T     29     1397   1900   2082
T     30     1359   1863   2042
T     31     1387   1888   2070
T     32     1419   1923   2100
T     33     1394   1895   2078
T     34     1354   1857   2037
T     35     1433   1938   2113
T     36     1396   1897   2079
T     37     1422   1926   2103
T     38     1371   1874   2051
T     39     1416   1920   2098
T     40     1399   1899   2081
T     41     1395   1895   2078
T     42     1350   1852   2034
T     43     1437   1941   2114
T     44     1397   1897   2078
T     45     1411   1913   2092
T     46     2099   2583   2762
T     47     1373   1875   2056
T     48     1382   1886   2060
T     49     1440   1944   2116
T     50     1447   1951   2122
T     51     1402   1904   2084
T     52     1369   1871   2048
T     53     1377   1878   2059
T     54     1424   1924   2099
T     55     1403   1903   2084
T     56     1397   1899   2073
T     57     1421   1923   2098
T     58     1398   1897   2078
T     59     1432   1933   2107
T     60     1399   1897   2079
T     61     1396   1895   2077
