Console output now writes to ColorDTest.txt and can be found at /home/pi/Chromostat/ColorDTest.txt

To change output to a file, press o
To return to this screen press h
To set gain value press g
To run color sensor press r
To run color sensor in manual mode press m
To reset file output, type reset
To view current settings, press v
To reset all settings, type resetAll
To set remove all unwanted lines from file, press c
To toggle light press l
To compete strains, type compete


Mode  Time  Red  Green  Blue
T     1     104   124   22
T     2     198   1506   1259
T     3     194   1489   1233
T     4     75   1520   1318
T     5     79   1531   1320
T     6     50   1461   1379
T     7     80   1547   1377
T     8     85   1550   1373
T     9     86   1552   1372
T     10     87   1552   1371
T     11     87   1553   1372
T     12     88   1553   1372
T     13     88   1553   1371
T     14     88   1553   1370
T     15     92   1557   1376
T     16     89   1554   1370
T     17     90   1555   1371
T     18     90   1553   1370
T     19     98   1563   1383
T     20     92   1556   1369
T     21     98   1565   1370
T     22     93   1556   1370
T     23     100   1565   1385
T     24     91   1554   1368
T     25     93   1556   1369
T     26     92   1555   1369
T     27     96   1560   1376
T     28     93   1554   1368
T     29     93   1555   1367
T     30     92   1554   1367
T     31     92   1554   1368
T     32     93   1556   1368
T     33     92   1552   1367
T     34     95   1556   1370
T     35     92   1553   1366
T     36     100   1563   1381
T     37     92   1552   1367
T     38     100   1563   1381
T     39     92   1552   1366
T     40     96   1558   1374
T     41     91   1550   1366
T     42     92   1552   1366
T     43     92   1552   1366
T     44     92   1553   1366
T     45     92   1552   1365
T     46     92   1551   1365
T     47     95   1555   1368
T     48     92   1549   1366
T     49     93   1552   1365
T     50     92   1552   1365
T     51     101   1562   1379
T     52     92   1552   1365
T     53     98   1559   1374
T     54     92   1551   1365
T     55     100   1561   1380
T     56     92   1550   1364
T     57     92   1550   1365
T     58     93   1551   1364
T     59     98   1557   1374
T     60     93   1552   1365
T     61     93   1551   1364
T     62     93   1551   1365
T     63     92   1549   1363
T     64     93   1551   1364
T     65     94   1551   1366
T     66     94   1552   1363
T     67     93   1551   1364
T     68     93   1550   1363
T     69     94   1551   1363
T     70     94   1551   1363
T     71     93   1551   1363
T     72     98   1556   1374
T     73     93   1550   1363
T     74     99   1557   1374
T     75     95   1553   1364
T     76     101   1561   1380
T     77     94   1550   1364
T     78     94   1550   1363
T     79     94   1551   1363
T     80     94   1552   1364
T     81     94   1553   1363
T     82     94   1551   1364
T     83     95   1552   1365
T     84     94   1550   1363
T     85     104   1563   1379
T     86     95   1551   1364
T     87     100   1558   1374
T     88     94   1551   1364
T     89     103   1561   1378
T     90     94   1550   1363
T     91     95   1551   1363
T     92     95   1552   1364
T     93     101   1560   1375
T     94     95   1552   1363
T     95     95   1551   1362
T     96     95   1552   1364
T     97     96   1554   1363
T     98     97   1553   1363
T     99     96   1552   1364
T     100     96   1553   1364
T     101     95   1551   1364
T     102     97   1555   1368
T     103     96   1553   1365
T     104     96   1553   1364
T     105     96   1553   1364
T     106     102   1560   1375
T     107     96   1552   1364
T     108     103   1561   1377
T     109     96   1553   1364
T     110     103   1561   1378
T     111     96   1552   1364
T     112     99   1556   1371
T     113     97   1552   1364
T     114     104   1561   1378
T     115     96   1553   1364
T     116     97   1553   1363
T     117     96   1551   1362
T     118     96   1550   1362
T     119     96   1552   1362
T     120     95   1551   1362
T     121     96   1551   1362
T     122     96   1551   1362
T     123     96   1551   1362
T     124     95   1550   1362
T     125     95   1551   1362
T     126     95   1549   1362
T     127     98   1554   1367
T     128     95   1549   1362
T     129     103   1560   1376
T     130     95   1550   1362
T     131     100   1557   1370
T     132     96   1551   1362
T     133     103   1561   1376
T     134     96   1551   1361
T     135     96   1551   1362
T     136     96   1551   1361
T     137     96   1551   1361
T     138     96   1550   1360
T     139     103   1561   1374
T     140     95   1551   1361
T     141     101   1557   1372
T     142     95   1550   1361
T     143     103   1560   1375
T     144     95   1550   1360
T     145     98   1553   1364
T     146     95   1549   1360
T     147     103   1560   1374
T     148     95   1550   1360
T     149     95   1550   1359
T     150     95   1549   1359
T     151     95   1549   1359
T     152     96   1550   1358
T     153     95   1548   1359
T     154     95   1549   1359
T     155     95   1549   1359
T     156     98   1553   1365
T     157     95   1549   1360
T     158     95   1550   1360
T     159     94   1548   1359
T     160     101   1558   1373
T     161     95   1549   1359
T     162     99   1554   1370
T     163     94   1549   1360
T     164     103   1560   1374
T     165     94   1548   1358
T     166     94   1548   1359
T     167     94   1549   1359
T     168     94   1548   1359
T     169     93   1547   1359
T     170     94   1548   1359
T     171     94   1549   1360
T     172     95   1548   1360
T     173     97   1553   1364
T     174     94   1549   1359
T     175     95   1549   1359
T     176     93   1547   1359
T     177     100   1555   1371
T     178     94   1548   1360
T     179     104   1563   1352
T     180     94   1548   1360
T     181     102   1557   1374
T     182     94   1548   1359
T     183     95   1550   1362
T     184     95   1549   1359
T     185     101   1557   1373
T     186     95   1549   1359
T     187     93   1547   1358
T     188     94   1548   1359
T     189     95   1549   1359
T     190     95   1549   1360
T     191     95   1549   1359
T     192     94   1548   1360
T     193     94   1548   1359
T     194     99   1555   1371
T     195     94   1548   1360
T     196     93   1547   1360
T     197     94   1547   1360
T     198     101   1557   1374
T     199     94   1548   1361
T     200     96   1550   1364
T     201     95   1550   1359
T     202     101   1558   1373
T     203     93   1547   1359
T     204     93   1547   1359
T     205     93   1547   1359
T     206     95   1549   1361
T     207     95   1548   1359
T     208     98   1553   1368
T     209     93   1548   1360
T     210     101   1556   1372
T     211     94   1547   1360
T     212     103   1558   1374
T     213     94   1548   1359
T     214     95   1548   1362
T     215     94   1547   1360
T     216     93   1546   1359
T     217     93   1546   1360
T     218     93   1547   1359
T     219     94   1548   1360
T     220     93   1546   1359
T     221     99   1553   1369
T     222     94   1547   1359
T     223     96   1550   1362
T     224     94   1547   1359
T     225     102   1557   1374
T     226     93   1546   1360
T     227     102   1556   1375
T     228     94   1547   1359
T     229     97   1551   1366
T     230     94   1548   1360
T     231     94   1547   1360
T     232     95   1548   1359
T     233     96   1549   1360
T     234     94   1548   1359
T     235     95   1548   1359
T     236     100   1555   1368
T     237     94   1548   1358
T     238     97   1552   1365
T     239     95   1549   1359
T     240     100   1555   1372
T     241     94   1547   1359
T     242     95   1548   1359
T     243     94   1547   1359
T     244     94   1547   1359
T     245     94   1546   1359
T     246     95   1548   1358
T     247     97   1551   1364
T     248     95   1549   1359
T     249     94   1548   1359
T     250     95   1548   1358
T     251     103   1559   1373
T     252     94   1547   1359
T     253     92   1543   1380
T     254     95   1548   1359
T     255     101   1557   1370
T     256     96   1549   1360
T     257     91   1545   1359
T     258     94   1547   1358
T     259     93   1546   1358
T     260     93   1546   1358
T     261     95   1548   1358
T     262     99   1553   1368
T     263     94   1548   1359
T     264     95   1548   1360
T     265     93   1546   1358
T     266     101   1556   1373
T     267     94   1547   1357
T     268     94   1547   1358
T     269     92   1546   1358
T     270     95   1548   1362
T     271     94   1544   1358
T     272     93   1546   1357
T     273     94   1547   1358
T     274     94   1546   1358
T     275     94   1546   1358
T     276     95   1547   1358
T     277     99   1553   1368
T     278     94   1546   1358
T     279     93   1545   1358
T     280     94   1547   1358
T     281     94   1547   1357
T     282     93   1545   1358
T     283     96   1550   1361
T     284     94   1548   1358
T     285     94   1546   1358
T     286     94   1547   1358
T     287     103   1557   1372
T     288     94   1546   1357
T     289     94   1547   1357
T     290     94   1546   1357
T     291     95   1548   1358
T     292     94   1546   1358
T     293     94   1546   1358
T     294     97   1551   1363
T     295     93   1545   1358
T     296     94   1546   1358
T     297     95   1548   1359
T     298     101   1555   1372
T     299     95   1547   1358
T     300     101   1554   1371
