[43, 54, 32]
[169, 248, 205]
[167, 245, 203]
[170, 249, 206]
[167, 246, 203]
[170, 250, 206]
[169, 248, 205]
[168, 247, 204]
[162, 238, 199]
[143, 211, 182]
[151, 223, 190]
[155, 228, 193]
[157, 231, 195]
[146, 217, 186]
[124, 202, 181]
[126, 211, 191]
[125, 208, 190]
[125, 209, 192]
[124, 208, 190]
[124, 207, 190]
[124, 207, 190]
[124, 205, 189]
[124, 206, 190]
[122, 196, 179]
[123, 200, 183]
[123, 201, 183]
[122, 196, 179]
[123, 201, 188]
[123, 199, 187]
[123, 198, 186]
[121, 193, 177]
[121, 194, 178]
[122, 195, 181]
[121, 193, 178]
[121, 194, 178]
[122, 196, 182]
[122, 195, 181]
[121, 194, 180]
[121, 191, 177]
[121, 190, 175]
[121, 191, 176]
[121, 191, 177]
[121, 191, 177]
[121, 191, 177]
[121, 190, 176]
[121, 192, 179]
[121, 191, 176]
[121, 190, 176]
[121, 190, 177]
[121, 189, 174]
[121, 190, 176]
[121, 189, 175]
[121, 189, 174]
[121, 189, 174]
[121, 189, 174]
[121, 190, 175]
[121, 189, 174]
[121, 189, 174]
[121, 188, 173]
[121, 188, 173]
[121, 189, 174]
[121, 189, 174]
[121, 188, 173]
[121, 188, 173]
[121, 189, 173]
[121, 189, 174]
[121, 188, 172]
[121, 188, 172]
[121, 189, 174]
[121, 188, 172]
[121, 188, 173]
[121, 188, 171]
[121, 188, 171]
[121, 188, 172]
[121, 188, 172]
[121, 188, 171]
[121, 188, 171]
[121, 188, 171]
[121, 189, 173]
[120, 188, 172]
[120, 187, 170]
[121, 188, 172]
[121, 187, 170]
[121, 188, 172]
[121, 187, 170]
[121, 187, 170]
[121, 188, 171]
[121, 188, 171]
[121, 189, 174]
[121, 188, 173]
[121, 188, 172]
[121, 189, 173]
[121, 189, 173]
[121, 188, 173]
[2, 3, 6]
[2, 3, 6]
[2, 3, 6]
[2, 3, 6]
[2, 3, 7]
[2, 3, 7]
[2, 3, 7]
[2, 3, 6]
[2, 3, 6]
[2, 3, 6]
[2, 3, 7]
[2, 3, 6]
[2, 3, 6]
[2, 3, 6]
[2, 3, 7]
[2, 3, 7]
[2, 3, 6]
